Item Number,Quality,Theme,Name,Location,Built,Notes
60214,1,City,Burger Bar Fire Rescue,Living Room,Yes,
42064,1,Technic,Ocean Explorer,Living Room,Yes,
60079,1,City,Training Jet Transporter,Lego Room,Yes,
60075,1,City,Excavator and Truck,Lego Room,Yes,
60107,1,City,Fire Ladder Truck,Lego Room,Yes,
42079,1,Technic,Heavy Duty Forklift,Living Room,Yes,
40188,1,,Pencil Holder,Work,Yes,
42071,1,Technic,Dozer Compactor,Lego Room,Yes,
21306,1,Lego Ideas,The Beatles Yellow Submarine,Living Room,Yes,
60150,1,City,Pizza Van,Lego Room,Yes,
60183,1,City,Heavy Cargo Transport,Lego Room,Yes,
60059,1,City,Logging Truck,Lego Room,Yes,
7990,1,City,Cement Mixer,Lego Room,Yes,
60185,1,City,Mining Power Splitter,Lego Room,Yes,
60073,1,City,Service Truck,Lego Room,Yes,
60152,1,City,Sweeper & Excavtor,Lego Room,Yes,
60157,1,City,Jungle Starter Set,Lego Room,Yes,
60093,1,City,Deep Sea Helicopter,Lego Room,Yes,
60181,1,City,Forest Tractor,Lego Room,Yes,
31066,1,Creator,Space Shuttle Explorer,Lego Room,Yes,
42006,1,Technic,Excavator and Truck,Lego Room,Yes,
60122,1,City,Volcano Crawler,Lego Room,Yes,
10264,1,Creator,Corner Garage,Lego Room,Yes,
40237,1,,Easter Egg Hunt,,Yes,
21029,1,Architecture,Buckingham Palace,Living Room,Yes,
40118,1,,Buildable Brick Box 2x2,Office,Yes,
21108,1,Lego Ideas,Ghostbusters,Living Room,Yes,
40172,1,,Brick Calendar,Work,Yes,
31079,1,Creator,Sunshine Surfer Van,,Yes,
31048,1,Creator,Lakeside Lodge,,Yes,
60156,1,City,Jungle Buggy,,Yes,
60136,1,City,Police Starter Set,Lego Room,Yes,
60184,1,City,Mining Team,Living Room,Yes,
31071,1,Creator,Drone Explorer,Lego Room,Yes,
850426,1,,Desk Pencil Holder,Kitchen,Yes,
31045,1,Creator,Ocean Explorer,Lego Room,Yes,
60157,1,City,Jungle Starter Set,Lego Room,Yes,
70818,1,The Lego Movie,Double-Decker Couch,Lego Room,Yes,In Box
60034,1,City,Arctic Helicrane,Lego Room,Yes,
42049,1,Technic,Min Loader,Lego Room,Yes,In Box
40305,1,Brick Archiect,Microscale LEGO® Brand Store,Living Room,,
21316,1,Lego Ideas,The Flintstones,Living Room,Yes,
3368,1,City,Space Center,Lego Room - Space,Yes,
60225,1,City,Rover Testing Drive,Lego Room - Space,Yes,
10266,1,Creater,NASA Appllo 11 Launar Lander,Lego Room - Space,Yes,
3365,1,City,Space Moon Buggy,Lego Room - Space,Yes,
60224,1,City,Satellite Service Mission,Lego Room - Space,es,
60077,1,City,Space Starter Set,Lego Room - Space,Yes,
40305,1,Promotional,LEGO Brand Store,Lego Room,Yes,
21316,1,Ideas,The Flintstones,Lego Room ,Yes,
21317,1,Ideas,Steamboat Willie,Lego Room,Yes,
60226,1,City,Mars Research Shuttle,Lego Room,Yes,
10269,1,Creator,Harley-Dividson Fat Boy,Office,Yes,
10252,1,Creator,Volkswagen Beetle,Living Room,Yes,
60228,1,City,Deep Space Rocket and Launch Control,Lego Room - Space,Yes,                                   
60227,1,City,Space Lunar Space Station,Lego Room - Space,Yes,
60229,1,City,Rocket Assembly & Transport,Lego Room - Space,Yes,
60222`,1,City,Snow Groomer,Lego Room,Yes,
10197,1,Creator,Fire Brigade,Lego Room,Yes,
