Item Number,Quality,Theme,Name,Location,Built,Notes
60054,1,City,Light Repair Truck,Middle Shelf,,
60149,1,City,4x4 with Catamaran,Middle Shelf,,
60019,1,City,Stunt Plane,Middle Shelf,,
60059,1,City,Logging Truck,Middle Shelf,,
60101,1,City,Airport Cargo Plane,Middle Shelf,,
8401,1,City,Minifigure Collection,Middle Shelf,X,
4201,1,City,Loader and Dump Truck,Middle Shelf,,
60134,1,City,Fun in the park - City People Pack,Middle Shelf,,
60083,1,City,Snowplow Truck,Middle Shelf,,
7630,1,City,Front-end Loader,Middle Shelf,,
7991,1,City,Garbage Truck,Middle Shelf,,
60150,1,City,Pizza Van,Middle Shelf,,
60117,1,City,Van & Caravan,Middle Shelf,,
60078,1,City,Utility Shuttle,Middle Shelf,,
3365,1,City,Space Moon Buggy,Middle Shelf,,
60077,2,City,Space Starter Set,Middle Shelf,,
3366,1,City,Satellite Launch Pad,Middle Shelf,,
3367,1,City,Space Shuttle,Middle Shelf,,
21104,1,Ideas,NASA Mars Science Laboratory Curiosity Rover,Middle Shelf,,
31066,1,Creator,Space Shuttle Explorer,Middle Shelf,,
3368,1,City,Space Centre,Middle Shelf,,
60080,1,City,Spaceport,Middle Shelf,,
10213,1,Creator,Shuttle Adventure,Middle Shelf,,
21309,1,Ideas,NASA Apollo Saturn V,Middle Shelf,,
70821,1,The Lego Movie 2,Emmet and Benny's 'Build and Fix' Workshop,Middle Shelf,,
60220,1,City,Garbage Truck,Middle Shelf,,
60212,1,City,Barbecue Burn out,Living Room,,
70823,1,The Lego Movie 2,Emmet's Thricycle,Living Room,,
60179,1,City,Ambulance Helicopter,Middle Shelf,,
42092,1,Technic,Rescue Helicopter,Middle Shelf,,
31093,1,Creator,Riverside Houseboat,Middle Shelf,,
