Item Number,Quality,Theme,Name,Location,Built,Notes
40010,2,,,Box 1,,
40021,1,,,Box 1,,
40023,2,,,Box 1,,
40024,1,,,Box 1,,
40031,2,,,Box 1,,
40032,3,,,Box 1,,
40033,1,,,Box 1,,
40035,1,,,Box 1,,
40035,1,,,Box 1,,
40051,2,,,Box 1,,
40052,3,,,Box 1,,
40054,2,,,Box 1,,
40055,1,,,Box 1,,
40057,3,,,Box 1,,
30009,1,,,Box 2,,
40019,1,,,Box 2,,
40020,3,,,Box 2,,
40022,2,,,Box 2,,
40024,1,,,Box 2,,
40029,1,,,Box 2,,
40030,1,,,Box 2,,
40033,1,,,Box 2,,
40034,2,,,Box 2,,
40048,1,,,Box 2,,
40049,1,,,Box 2,,
8028,2,Star Wars,TIE Figher,Box 3,,
30008,1,Creator,,Box 3,,
30043,1,Star Wars,Republic Attack Cruiser,Box 3,,
30167,1,Marvel - Super Herroes,,Box 3,,
30250,1,Chima,Ewar's Aceo Fighter,Box 3,,
30284,1,Creator,,Box 3,,
30305,1,Marvel - Super Herroes,Spider-Men Super Jumper,Box 3,,
30312,1,City,,Box 3,,
30351,1,City,,Box 3,,
30358,1,City,,Box 3,,
30372,1,Nexo Knights,Robin's Mini Fortrex,Box 3,,
30422,1,Ninjahq,Kai's Mini Dragon,Box 3,,
30524,1,The Batman Movie,The Mini Batwing,Box 3,,
40076,1,Monster Fighters,,Box 3,,
40078,1,Creator,,Box 3,,
40140,1,Creator,,Box 3,,
40059,2,,,Box 2,,
40058,2,,,Box 2,,
30350,2,City,,Box 3,,
30379,1,Star Wars,Kylo Ren's Command Shuttle,Box 3,,
30524,1,The Batman Movie,The Mini Batwing,Box 3,,
30185,1,Creator,,Box 3,,
41505,1,Mixels,Shuff,Box 4,,
41508,1,Mixels,Volectro,Box 4,,
41503,1,Mixels,Krader,Box 4,,
41504,1,Mixels,Seismo,Box 4,,
41500,1,Mixels,Flain,Box 4,,
41501,1,Mixels,Vulk,Box 4,,
41506,1,Mixels,Teslo,Box 4,,
41502,1,Mixels,Zorch,Box 4,,
41507,1,Mixels,Zaptor,Box 4,,
10068,1,,,Box 5,X,
10165,1,,,Box 5,X,
10079,2,,,Box 5,X,
10070,2,,,Box 5,X,
7667,1,Star Wars,,Box 5,X,
10166,1,,,Box 5,X,
8815,1,Technic,,Box 5,X,
10080,2,,,Box 5,X,
8418,1,Technic,,Box 5,X,
7942,1,City,,Box 5,X,
4939,1,Creator,,Box 5,X,
7668,1,Star Wars,,Box 5,X,
8810,1,Technic,,Box 5,X,
7031,1,World City,,Box 5,X,
10090,1,,,Box 5,X,
10069,1,,,Box 5,X,
8282,1,Technic,,Box 5,X,
7241,1,City,,Box 5,X,
30609,1,The Ninjago Movie,,Box 6,,
40178,1,VIP,,Box 6,,
7747,1,City,Truck,Box 6,x,
30053,1,Star Wars,,Box 6,x,
7693,1,Mars Mission,,Box 6,x,
4096,1,Designer Set,,Box 6,x,
7648,1,Mars Mission,,Box 6,x,
7890,1,City,Ambalens,Box 6,x,
7695,1,Mars Mission,,Box 6,x,
3731,2,Pumpkin 3D,,Box 6,x,
30361,1,City,Fire Atv,Box 7,,
30603,1,DC Super Heroes,Batman Classic TV Series - Mr Freeze,Box 7,,
40003,1,,Snowman,Box 7,,
30460,1,The Lego Movie 2,Rex's Plantimal Ambush,Box 7,,
30609,1,The Ninjago Movie,Lioyd Garmadon,Box 7,,
30406,1,The Lego Movie 2,Unikiiy Roller Coaster Wagon,Box 7,,
30550,1,Creator,Easter Bunny,Box 7,,
40108,1,Creator,Ballon Cart,Box 7,,
30185,2,Creator,Little Eagle,Box 7,,
853958,1,Seasonal - Easter,Chicken Skater Pod,Box 7,,
