Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To

0	(Not Applicable)		N/A	4111	11294	50791	9636	1954	2020
41	Aqua	b5d3d6	Solid	80	59	843	110	1998	2006
11	Black	212121	Solid	9515	10649	12984	9760	1957	2020
7	Blue	0057a6	Solid	3537	7284	5640	3874	1950	2020
97	Blue-Violet	506cef	Solid	37	17	490	58	2004	2005
36	Bright Green	10cb31	Solid	488	1450	1618	556	1950	2020
105	Bright Light Blue	9FC3E9	Solid	282	387	1033	310	2004	2020
110	Bright Light Orange	F7BA30	Solid	816	1119	1835	896	2000	2020
103	Bright Light Yellow	F3E055	Solid	294	472	1337	329	2004	2020
104	Bright Pink	FFBBFF	Solid	475	852	1036	504	2003	2020
8	Brown	532115	Solid	566	1082	2478	868	1974	2006
227	Clikits Lavender	E0AAD9	Solid	9	12	36	8	2005	2005
220	Coral	f88379	Solid	75	84	283	81	2019	2020
153	Dark Azure	3399FF	Solid	468	570	1202	486	2000	2020
63	Dark Blue	143044	Solid	1711	1613	3194	1752	1961	2020
109	Dark Blue-Violet	2032B0	Solid	7	5	451	14	2004	2006
85	Dark Bluish Gray	595D60	Solid	3232	5195	5873	3545	1991	2020
120	Dark Brown	330000	Solid	614	1213	2102	662	2008	2020
10	Dark Gray	6b5a5a	Solid	1037	1693	3247	1394	1961	2007
80	Dark Green	2E5543	Solid	744	784	2236	807	1961	2020
225	Dark Nougat	E78B3E	Solid	3	10	95	7	2001	2004
68	Dark Orange	b35408	Solid	558	1250	1629	640	1979	2020
47	Dark Pink	C87080	Solid	588	897	1167	645	1994	2020
89	Dark Purple	5f2683	Solid	747	855	1566	809	2003	2020
59	Dark Red	6a0e15	Solid	1348	1421	2890	1394	1961	2020
69	Dark Tan	907450	Solid	854	1742	2266	876	1961	2020
39	Dark Turquoise	008a80	Solid	301	316	838	375	1998	2020
161	Dark Yellow	DD982E	Solid	4	4	413	18	2004	2005
29	Earth Orange	E6881D	Solid	36	87	438	55	1982	2006
106	Fabuland Brown	B3694E	Solid	8	28	581	20	1979	1997
160	Fabuland Orange	EF9121	Solid	1	1	223	5	1983	1983
6	Green	00642e	Solid	1795	4486	3675	2030	1950	2020
154	Lavender	B18CBF	Solid	204	292	537	247	2004	2020
152	Light Aqua	CCFFFF	Solid	284	294	616	298	2011	2020
62	Light Blue	B4D2E3	Solid	42	33	657	100	1950	2007
86	Light Bluish Gray	afb5c7	Solid	3599	5580	6315	3983	1993	2020
9	Light Gray	9c9c9c	Solid	1840	3181	4509	2322	1954	2008
38	Light Green	a5dbb5	Solid	69	64	432	114	1992	2007
35	Light Lime	EbEE8F	Solid	18	15	215	37	1992	2007
90	Light Nougat	feccb0	Solid	1316	1269	2268	1299	2004	2020
32	Light Orange	f7ad63	Solid	16	16	295	56	1998	2005
56	Light Pink	FFE1FF	Solid	6	12	346	57	1994	2007
93	Light Purple	DA70D6	Solid	27	15	355	58	1999	2007
26	Light Salmon	FFDEDC	Solid	49	19	275	54	1997	1999
40	Light Turquoise	31B5CA	Solid	48	39	383	94	1998	2004
44	Light Violet	C9CAE2	Solid	70	39	247	84	1994	2004
33	Light Yellow	ffe383	Solid	95	74	906	150	1994	2011
34	Lime	A6CA55	Solid	1398	1923	2175	1515	1982	2020
72	Maersk Blue	6BADD6	Solid	84	14	435	114	1974	2011
